,Unnamed: 0,beatNumber,beatNameFromGeo,beatNameFromStops
0,71.0,111,CLAIREMONT MESA EAST,111 Clairemont Mesa East (Northern)
1,40.0,112,CLAIREMONT MESA WEST,112 Clairemont Mesa West (Northern)
2,50.0,113,BAY HO,113 Bay Ho (Northern)
3,37.0,114,NORTH CLAIREMONT,114 North Clairemont (Northern)
124,,115,UNIVERSITY CITY,125 La Jolla Village (Northern)
4,48.0,116,BAY PARK,116 Bay Park (Northern)
5,93.0,121,MISSION BEACH,121 Mission Beach (Northern)
6,0.0,122,PACIFIC BEACH,122 Pacific Beach (Northern)
7,28.0,123,MISSION BAY PARK,123 Mission Bay Park (Northern)
8,63.0,124,LA JOLLA,124 La Jolla (Northern)
123,,125,NORTH CITY,435 Broadway Heights (Southeastern)
9,110.0,126,TORREY PINES,126 Torrey Pines (Northern)
10,116.0,231,SABRE SPRINGS,231 Sabre Springs (Northeastern)
11,82.0,232,CARMEL MOUNTAIN,232 Carmel Mountain (Northeastern)
12,32.0,233,RANCHO PENASQUITOS,233 Rancho Penasquitos (Northeastern)
13,54.0,234,RANCHO BERNARDO,234 Rancho Bernardo (Northeastern)
14,102.0,235,SAN PASQUAL,235 San Pasqual (Northeastern)
15,24.0,241,SCRIPPS RANCH,241 Scripps Ranch (Northeastern)
16,6.0,242,MIRA MESA,242 Mira Mesa (Northeastern)
17,55.0,243,MIRAMAR,243 Miramar (Northeastern)
18,108.0,245,RANCHO ENCANTADA,245 Rancho Encantada (Northeastern)
19,11.0,246,MIRAMAR RANCH NORTH,246 Miramar Ranch North (Northeastern)
20,31.0,311,SERRA MESA,311 Serra Mesa (Eastern)
21,15.0,312,TIERRASANTA,312 Tierra Santa (Eastern)
118,,313,KEARNEY MESA,313 Kearney Mesa (Eastern)
22,89.0,314,BIRDLAND,314 Birdland (Eastern)
23,18.0,315,MISSION VALLEY EAST,315 Mission Valley East (Eastern)
24,122.0,316,QUALCOMM,316 Qualcomm (Eastern)
25,62.0,321,GRANTVILLE,321 Grantville (Eastern)
26,91.0,322,ALLIED GARDENS,322 Allied Gardens (Eastern)
27,99.0,323,DEL CERRO,323 Del Cerro (Eastern)
28,72.0,324,LAKE MURRAY,324 Lake Murray (Eastern)
29,64.0,325,SAN CARLOS,325 San Carlos (Eastern)
30,97.0,326,COLLEGE WEST,326 College West (Eastern)
31,10.0,327,COLLEGE EAST,327 College East (Eastern)
32,76.0,431,EMERALD HILLS,431 Emerald Hills (Southeastern)
33,79.0,432,VALENCIA PARK,432 Valencia Park (Southeastern)
34,33.0,433,ENCANTO,433 Encanto (Southeastern)
35,9.0,434,JAMACHA LOMITA,434 Jamacha/Lomita (Southeastern)
36,125.0,435,BROADWAY HEIGHTS,435 Broadway Heights (Southeastern)
37,14.0,436,SKYLINE,436 Skyline (Southeastern)
38,83.0,437,BAY TERRACES,437 Bay Terraces (Southeastern)
39,75.0,438,PARADISE HILLS,438 Paradise Hills (Southeastern)
40,123.0,439,ALTA VISTA,439 Alta Vista (Southeastern)
41,39.0,441,MOUNTAIN VIEW,441 Mountain View (Southeastern)
42,67.0,442,SOUTHCREST,442 Southcrest (Southeastern)
43,81.0,443,SHELLTOWN,443 Shelltown (Southeastern)
44,30.0,444,MT HOPE,444 Mt. Hope (Southeastern)
45,8.0,445,CHOLLAS VIEW,445 Chollas View (Southeastern)
46,29.0,446,LINCOLN PARK,446 Lincoln Park (Southeastern)
47,23.0,447,RIDGEVIEW/WEBSTER,447 Ridgeview/Webster (Southeastern)
48,44.0,451,OAK PARK,451 Oak Park (Southeastern)
121,,452,SKYLINE,452 O'Farrell (Southeastern)
49,56.0,511,BARRIO LOGAN,511 Barrio Logan (Central)
50,19.0,512,LOGAN HEIGHTS,512 Logan Heights (Central)
51,74.0,514,SHERMAN HEIGHTS,514 Sherman Heights (Central)
52,90.0,515,GRANT HILL,515 Grant Hill (Central)
53,66.0,516,STOCKTON,516 Stockton (Central)
54,47.0,517,GOLDEN HILL,517 Golden Hill (Central)
55,109.0,518,SOUTH PARK,518 South Park (Central)
56,41.0,521,EAST VILLAGE,521 East Village (Central)
57,52.0,522,MARINA,522 Marina (Central)
58,4.0,523,GASLAMP,523 Gaslamp (Central)
59,12.0,524,CORE-COLUMBIA,524 Core-Columbia (Central)
60,120.0,525,HORTON PLAZA,525 Horton Plaza (Central)
61,101.0,526,CORTEZ,526 Cortez (Central)
62,114.0,527,HARBORVIEW,527 Harborview (Central)
63,25.0,528,LITTLE ITALY,528 Little Italy (Central)
64,88.0,529,PARK WEST,529 Park West (Central)
65,94.0,531,BALBOA PARK,531 Balboa Park (Central)
66,21.0,541,PETCO PARK,541 Petco Park (Central)
67,16.0,611,MIDWAY DISTRICT,611 Midway District (Western)
68,20.0,612,LOMA PORTAL,612 Loma Portal (Western)
69,104.0,613,POINT LOMA HEIGHTS,613 Point Loma Heights (Western)
70,84.0,614,OCEAN BEACH,614 Ocean Beach (Western)
71,113.0,615,ROSEVILLE / FLEET RIDGE,615 Roseville/Fleet Ridge (Western)
72,86.0,617,WOODED AREA,617 Wooded Area (Western)
73,65.0,618,SUNSET CLIFFS,618 Sunset Cliffs (Western)
74,1.0,621,LINDA VISTA,621 Linda Vista (Western)
75,2.0,622,MORENA,622 Morena (Western)
76,73.0,623,MISSION VALLEY WEST,623 Mission Valley West (Western)
77,27.0,624,UNIVERSITY HEIGHTS,624 University Heights (Western)
78,57.0,625,OLD TOWN,625 Old Town (Western)
79,70.0,626,MISSION HILLS,626 Mission Hills (Western)
80,7.0,627,HILLCREST,627 Hillcrest (Western)
81,100.0,628,MIDTOWN,628 Midtown (Western)
82,105.0,711,TIJUANA RIVER VALLEY,711 Tijuana River Valley (Southern)
83,3.0,712,SAN YSIDRO,712 San Ysidro (Southern)
84,87.0,713,OTAY MESA,713 Otay Mesa (Southern)
85,5.0,714,BORDER,714 Border (Southern)
86,35.0,721,EGGER HIGHLANDS,721 Egger Highlands (Southern)
87,49.0,722,NESTOR,722 Nestor (Southern)
88,13.0,723,OTAY MESA WEST,723 Otay Mesa West (Southern)
89,34.0,724,PALM CITY,724 Palm City (Southern)
90,17.0,725,OCEAN CREST,725 Ocean Crest (Southern)
91,51.0,811,NORMAL HEIGHTS,811 Normal Heights (Mid-City)
92,118.0,812,BURLINGAME,812 Burlingame (Mid-City)
93,42.0,813,NORTH PARK,813 North Park (Mid-City)
94,77.0,814,ADAMS NORTH,814 Adams North (Mid-City)
95,60.0,821,ROLANDO,821 Rolando (Mid-City)
96,96.0,822,EL CERRITO,822 El Cerrito (Mid-City)
119,,823,ROLANDO,823 Redwood Village (Mid-City)
97,59.0,824,TALMADGE,824 Talmadge (Mid-City)
98,53.0,825,KENSINGTON,825 Kensington (Mid-City)
99,46.0,826,COLINA DEL SOL,826 Colina Del Sol (Mid-City)
100,61.0,827,CHOLLAS CREEK,827 Chollas Creek (Mid-City)
101,58.0,828,FOX CANYON,828 Fox Canyon (Mid-City)
102,127.0,829,ISLENAIR,829 Islenair (Mid-City)
103,38.0,831,TERALTA EAST,831 Teralta East (Mid-City)
104,45.0,832,TERALTA WEST,832 Teralta West (Mid-City)
105,69.0,834,CASTLE,834 Castle (Mid-City)
106,106.0,835,AZALEA/HOLLYWOOD PARK,835 Azalea/Hollywood Park (Mid-City)
107,111.0,836,SWAN CANYON,836 Swan Canyon (Mid-City)
120,,837,FAIRMONT PARK,837 Fairmount Park (Mid-City)
108,107.0,838,CORRIDOR,838 Corridor (Mid-City)
109,78.0,839,CHEROKEE POINT,839 Cherokee Point (Mid-City)
122,,841,ROLANDO,841 Rolando Park (Mid-City)
110,92.0,931,SORRENTO VALLEY,931 Sorrento Valley (Northwestern)
111,121.0,932,TORREY PRESERVE,932 Torrey Preserve (Northwestern)
112,43.0,933,DEL MAR HEIGHTS,933 Del Mar Heights (Northwestern)
113,95.0,934,CARMEL VALLEY,934 Carmel Valley (Northwestern)
114,85.0,935,NORTH CITY,935 North City (Northwestern)
115,36.0,936,TORREY HIGHLANDS,936 Torrey Highlands (Northwestern)
116,117.0,937,BLACK MOUNTAIN RANCH,937 Black Mountain Ranch (Northwestern)
117,,999,UNKNOWN,999 Unknown (Unknown)
